Age	Mean_temperature	Number	Range95CI
185	20.02	28	1.23
186	18.85	54	0.77
187	21.91	40	0.84
188	22.54	86	0.8
189	21.14	129	0.43
190	21.42	134	0.42
191	20.42	59	0.69
192	20.44	19	1.07
193	21.67	5	2.19
195	21.16	9	2.5
197	22.88	7	3.42
198	16.44	15	1.41
199	19.66	16	1.85
200	20.81	19	2.45
201	15.24	187	0.39
202	12.08	56	0.62
203	15.61	166	0.32
204	18.35	6	2.83
205	19.65	10	1.22
206	20.04	11	1.75
207	20.98	7	3.78
209	21.46	5	5.66
210	22.81	4	4.54
211	23.53	4	4.21
212	24.41	4	4.35
214	26.29	6	3.94
217	24.21	3	6.92
222	19.93	1	
226	21.44	3	4.99
230	23.46	141	0.38
231	23.52	11	4.15
232	24.17	10	3.51
234	22.64	4	5.51
235	19.57	9	2.77
236	24.72	8	1.65
237	22.27	4	4.64
238	25.25	4	4.41
240	27.97	13	3.03
242	26.11	20	1.94
244	31.39	11	3.59
245	28.53	13	4.7
246	22.98	10	3.92
247	23.87	25	2.08
248	25.98	28	1.61
249	29.28	6	1.45
250	29.8	12	1.54
251	29.94	32	0.97
252	23.84	259	0.75
253	18.57	67	0.77
254	20.21	67	0.78
255	20.54	8	4.34
256	21.29	14	1.64
257	22.86	19	0.85
258	23.11	15	1.36
259	22.93	26	1.26
260	20.56	26	0.86
261	23.25	18	1.01
262	18.79	7	3.53
264	19.3	4	1.01
265	18.5	9	1.84
266	17	17	1.2
268	20.59	4	3.31
270	18.42	8	1.86
271	17.3	3	2.64
272	17.63	8	2.27
274	17.61	5	2.92
275	16.54	9	1.62
276	14.38	7	2.48
277	15.06	3	4.88
279	17.41	8	2.14
282	14.54	4	4.92
285	15.45	6	2.17
288	17.42	3	5.13
290	15.66	4	3.74
291	14.13	5	3.67
292	16.4	6	4.18
293	14.15	5	2.35
294	12.32	8	1.71
295	16.91	7	4.89
296	15.71	7	3.16
297	14.23	13	1.39
298	12.85	8	2.32
299	17.47	23	1.83
300	17.2	9	2.71
301	20	50	0.83
302	22.45	41	2.1
303	20.51	15	4.4
304	18.1	11	4.05
305	20.49	21	2.81
306	22.13	15	4.58
307	21.25	11	4.98
308	22.18	18	3.87
310	21.73	16	3.65
311	20.51	7	3.5
312	15.43	8	5.36
313	16.29	12	2.1
314	13.5	11	0.89
315	11.28	17	0.74
316	10.94	18	1.07
317	11.77	9	0.77
318	9.42	8	1.17
319	9.37	3	7.14
321	10.54	5	5.25
322	11.18	3	0.96
323	12.37	4	1.95
324	12.97	13	0.48
325	13.5	16	1.49
326	12.33	16	1.45
327	15.36	17	1.62
328	15.84	14	1.87
329	15.13	14	1.43
330	13.76	13	1.17
331	14.04	14	3.24
332	13	3	4.3
333	13.47	4	2.78
334	13.04	10	2.37
335	13.02	5	3.96
336	14.87	4	6.31
339	18.54	9	7.18
345	20.6	8	2.26
347	20.12	16	1.72
348	20.33	10	0.96
349	21.14	6	3.64
350	23.04	19	2.2
351	23.92	44	1.41
352	23.67	32	1.36
353	27.34	45	1.2
355	29.36	3	6.87
356	28.04	5	4.27
357	27.94	10	2.93
358	27.17	45	1.25
359	27.03	23	1.03
360	28.43	9	2.31
361	27.57	18	0.82
362	31.35	12	0.79
363	29.4	13	2.15
364	29.85	14	1.68
365	30.03	18	1.88
366	30.77	25	1.13
367	31.74	23	1.11
368	33.1	14	1.17
369	34.73	13	2.8
370	32.95	25	1.08
371	32.65	44	0.81
372	31.22	52	0.75
373	33.52	49	0.64
374	31.64	69	0.6
375	30.89	44	0.84
376	31.11	11	2.75
379	24.59	8	2.14
381	25.77	7	2.34
382	24.35	18	1.22
383	25.59	45	1.03
384	31.7	63	1.53
385	34.44	20	2.66
386	25.15	6	0.42
387	24.89	21	0.99
388	24.31	3	1.68
389	28.26	7	2.45
390	27.53	11	2.01
391	26.08	37	0.92
392	25.03	20	1.38
393	25.03	14	2.19
394	26.26	9	3.02
395	24.92	9	2.32
396	24.42	9	3.89
398	23.73	6	3.98
400	24.54	6	4.25
403	33.18	6	2.78
405	30.55	3	2.53
406	27	4	0.25
407	26.7	4	0.65
409	28.9	9	1.3
410	29.86	28	1
412	34.42	11	2.64
414	35.55	17	1.14
415	33.54	3	2.19
416	32.46	11	0.71
421	31.8	3	2.16
422	29.39	5	2.16
423	30.03	3	3.57
424	27.84	9	1.36
425	32.54	16	1.15
426	30.69	7	2.81
427	28.36	5	2.59
428	28.02	8	1.42
429	25.73	7	2.65
430	26.92	8	1.66
431	28.04	16	1.06
432	26.02	21	1.84
433	30.22	12	1.88
434	28.52	9	1.19
435	31.28	12	1.75
436	30.14	10	0.82
437	31.26	6	2.35
438	30.6	6	2.54
439	29.17	9	1.75
441	29.21	6	1.14
442	26.87	5	2.83
443	26.14	14	1.08
444	24.71	43	1.44
445	26.14	20	3.04
446	25.28	7	2.69
447	29.78	29	1.21
448	28.25	27	0.97
449	29.04	19	2.39
450	28.37	24	0.76
451	27.79	76	0.54
452	27.93	134	0.47
453	27.86	87	0.88
454	27.13	10	1.34
459	31.14	5	2.96
460	30.56	8	1.17
462	34.71	4	2.44
466	32.74	9	1.5
468	33.79	11	1.8
472	35.55	10	1.41
474	38.49	19	0.97
477	37.41	9	1.71
480	40.61	14	1.09
482	39.55	1	
484	42.7	10	1.25
485	43.88	7	1.25
493	46.87	5	2.59
494	48.88	14	1.86
495	50.19	11	1.86
496	47.37	9	1.1
497	42.97	4	4.39
498	45.82	3	2.15
